model,L2 size (kB),# cores,# loading cycles,# executing cycles,# cycles
Dronet,512,8,10754876,8214121,18968997
Dronet,512,6,10778933,14619874,25398807
Dronet,512,4,10754800,14229686,24984486
Dronet,512,2,10754776,26724534,37479310
Dronet,256,8,6271897,10472827,16744724
Dronet,256,6,6271758,17575381,23847139
Dronet,256,4,6271932,17984199,24256131
Dronet,256,2,6272146,27978532,34250678
PenguiNet 32 bits,512,8,7171085,3103478,10274563
PenguiNet 32 bits,512,6,7183885,4386805,11570690
PenguiNet 32 bits,512,4,7170647,4401941,11572588
PenguiNet 32 bits,512,2,7170924,7244093,14415017
PenguiNet 32 bits,128,8,2107691,3285401,5393092
PenguiNet 32 bits,128,6,2107669,4784258,6891927
PenguiNet 32 bits,128,4,2107391,4741152,6848543
PenguiNet 32 bits,128,2,2107469,6837341,8944810
MobileNetV2 (8 bits),512,8,69787852,59121620,128909472
MobileNetV2 (8 bits),512,6,69786869,105463031,175249900
MobileNetV2 (8 bits),512,4,69783680,101851069,171634749
MobileNetV2 (8 bits),512,2,69784920,176273142,246058062
MobileNetV2 (8 bits),384,8,65068026,73317833,138385859
MobileNetV2 (8 bits),384,6,65068948,105957271,171026219
MobileNetV2 (8 bits),384,4,65065914,114486942,179552856
MobileNetV2 (8 bits),384,2,65066204,186007528,251073732


